# terms|title|body
# Generated by scripts/build_assistant_kdb.py from HELP.TXT and KNOW.TXT.
hello starting conversation dos|Starting a conversation|Hello from DOS.
emulator meaning runs one machine inside another|Emulator meaning|An emulator runs one machine inside another.
offline limit dos cannot browse answer comes local files|Offline limit|DOS cannot browse here; the answer comes from local files.
thanks are welcome|Thanks|You are welcome.
confused clarify request ask one short question|Clarify request|Ask one short question.
talk open conversation dos|Open conversation|I can talk in DOS.
name assistant identity gpt2-basic|Assistant identity|I am GPT2-BASIC.
status demo live|Demo status|The demo is live.
music topic talk|Music topic|I can talk about music.
food topic not eat but talk|Food topic|I do not eat, but I can talk about food.
bored boredom help try one small project|Boredom help|Try one small project.
worry help name choose one step|Worry help|Name the worry, then choose one step.
relax help breathe slowly rest minute|Relax help|Breathe slowly and rest for a minute.
friendship meaning care trust|Friendship meaning|Friendship is care and trust.
game meaning play rules|Game meaning|A game is play with rules.
goal meaning something want reach|Goal meaning|A goal is something you want to reach.
advice meaning suggested next step|Advice meaning|Advice is a suggested next step.
rest meaning time recover|Rest meaning|Rest is time to recover.
improve practice help one small thing day|Practice help|Practice one small thing each day.
discuss discussion topics ideas feelings games music dos|Discussion topics|We can discuss ideas, feelings, games, music, or DOS.
life meaning topic comes care choices people around|Meaning topic|Meaning comes from care, choices, and the people around you.
slow inference small dos takes time|Slow inference|Small DOS inference takes time.
unusual demo but real|Unusual demo|It is unusual, but it is real.
ask better questions prompts say goal give one detail next useful step|Better prompts|Say the goal, give one detail, and ask for the next useful step.
follow follow-up help ask one short question continue last answer|Follow-up help|Ask one short follow-up question so I can continue from the last answer.
local knowledge answer model weights pack files session memory bundled notes|Local knowledge|I answer from local model weights, pack files, session memory, and bundled notes.
useful small computer small-computer usefulness tiny local model becomes more retrieval memory quick focused help without network|Small-computer usefulness|A tiny local model becomes more useful with retrieval, memory, and quick focused help without a network.
intelligence practical assistant combines retrieval memory rules tiny local model produce useful dos answers|Practical intelligence|The assistant combines retrieval, memory, rules, and a tiny local model to produce useful DOS answers.
trust proof evidence comes visible files local weights reproducible tests qemu hardware logs|Trust evidence|Trust proof comes from visible files, local weights, reproducible tests, and QEMU or hardware logs.
mistake recovery recover bad answer wrong ask shorter question switch packs give exact error|Mistake recovery|If an answer is wrong, ask a shorter question, switch packs, or give the exact error.
learn topic learning pick one simple question answer ask follow-up example|Learning a topic|Pick one simple question, answer it, then ask a follow-up or example.
creative idea help ask one joke story plan name keep prompt short|Creative help|Ask for one joke, story, plan, name, or idea and keep the prompt short.
memory tell facts phrases like name are working prefer|Memory use|Tell me facts with phrases like my name is, we are working on, or I prefer.
pack switch switching chat conversation doshelp dos setup office writing tasks|Pack switching|Use CHAT for conversation, DOSHELP for DOS setup, and OFFICE for writing tasks.
offline work means answer must come local files memory model weights|Offline work|Offline means the answer must come from local files, memory, and model weights.
hardware limits old favors short prompts brief answers small models retrieval text files|Hardware limits|Old hardware favors short prompts, brief answers, small models, and retrieval from text files.
release proof useful includes tests checksums logs asset names final tag target|Release proof|Useful release proof includes tests, checksums, logs, asset names, and the final tag target.
next step task feels large choose one small action test result|Next step|When the task feels large, choose one small next action and test the result.
clarify question request ask one direct only missing detail blocks useful answer|Clarify a request|Ask one direct question only when a missing detail blocks a useful answer.
compare options name list one tradeoff choose practical next step|Compare options|Name the options, list one tradeoff for each, then choose the practical next step.
plan work planning break job small steps blocking step first verify result|Planning work|Break the job into small steps, do the blocking step first, and verify each result.
summarize text keep decision evidence risk next action remove filler|Summarize text|Keep the decision, evidence, risk, and next action; remove filler.
explain simply simple explanation plain words one example short answer fits prompt|Simple explanation|Use plain words, one example, and a short answer that fits the prompt.
answer confidence say known local files inferred remains uncertain|Answer confidence|Say what is known from local files, what is inferred, and what remains uncertain.
privacy limit local means prompts stay machine unless user copies elsewhere|Privacy limit|Local use means prompts stay on this machine unless the user copies them elsewhere.
web access without internet cannot fetch news live facts local notes give prompt|No web access|Without internet, I cannot fetch news or live facts; use local notes or give the facts in the prompt.
testing mindset useful test has clear input expected result actual pass fail status|Testing mindset|A useful test has a clear input, expected result, actual result, and pass or fail status.
learn notes learning put facts pack session memory ask focused questions those|Learning from notes|Put facts in pack notes or session memory, then ask focused questions about those facts.
local files pack model logs checksums notes are assistant evidence|Local files|Pack files, model files, logs, checksums, and notes are the assistant's local evidence.
usefulness useful answer brief concrete honest limits easy act|Useful answer|A useful answer should be brief, concrete, honest about limits, and easy to act on.
